[2025-09-07 21:18:11,019] 23 root - INFO - Initiate the data ingestion
[2025-09-07 21:18:23,127] 67 root - INFO - Performed train test split on the dataframe
[2025-09-07 21:18:23,128] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-07 21:18:23,130] 77 root - INFO - Exporting train and test file path.
[2025-09-07 21:18:23,372] 86 root - INFO - Exported train and test file path.
[2025-09-07 21:18:23,373] 25 root - INFO - Data Initiation Completed
[2025-09-07 21:18:23,529] 29 root - INFO - Initiate the data Validation
[2025-09-07 21:18:23,631] 32 root - INFO - Required number of columns:2
[2025-09-07 21:18:23,633] 33 root - INFO - Data frame has columns:31
[2025-09-07 21:18:23,633] 32 root - INFO - Required number of columns:2
[2025-09-07 21:18:23,633] 33 root - INFO - Data frame has columns:31
[2025-09-07 21:18:23,946] 31 root - INFO - data Validation Completed
[2025-09-07 21:18:23,947] 35 root - INFO - Initiate the data Transformation
[2025-09-07 21:18:23,947] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-07 21:18:23,947] 65 root - INFO - Starting data transformation
[2025-09-07 21:18:23,996] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-07 21:18:23,997] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-07 21:18:24,023] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-07 21:18:24,030] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-07 21:18:24,030] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-09-07 21:18:24,034] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-09-07 21:18:24,036] 37 root - INFO - data Transformation Completed
[2025-09-07 21:18:24,036] 40 root - INFO - Model Training sstared
