[2025-09-06 00:25:00,696] 20 root - INFO - Initiate the data ingestion
[2025-09-06 00:25:07,848] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 00:25:07,849] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 00:25:07,850] 77 root - INFO - Exporting train and test file path.
[2025-09-06 00:25:07,991] 86 root - INFO - Exported train and test file path.
[2025-09-06 00:25:07,993] 22 root - INFO - Data Initiation Completed
[2025-09-06 00:25:08,021] 26 root - INFO - Initiate the data Validation
[2025-09-06 00:25:08,119] 32 root - INFO - Required number of columns:2
[2025-09-06 00:25:08,119] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:25:08,119] 32 root - INFO - Required number of columns:2
[2025-09-06 00:25:08,119] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:25:08,439] 28 root - INFO - data Validation Completed
