[2025-09-06 00:21:47,616] 20 root - INFO - Initiate the data ingestion
[2025-09-06 00:21:57,618] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 00:21:57,618] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 00:21:57,619] 77 root - INFO - Exporting train and test file path.
[2025-09-06 00:21:57,890] 86 root - INFO - Exported train and test file path.
[2025-09-06 00:21:57,892] 22 root - INFO - Data Initiation Completed
[2025-09-06 00:21:57,923] 26 root - INFO - Initiate the data Validation
[2025-09-06 00:21:58,129] 32 root - INFO - Required number of columns:2
[2025-09-06 00:21:58,129] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:21:58,129] 32 root - INFO - Required number of columns:2
[2025-09-06 00:21:58,129] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:21:58,630] 28 root - INFO - data Validation Completed
