[2025-09-06 00:29:33,600] 20 root - INFO - Initiate the data ingestion
[2025-09-06 00:29:42,503] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 00:29:42,503] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 00:29:42,504] 77 root - INFO - Exporting train and test file path.
[2025-09-06 00:29:42,645] 86 root - INFO - Exported train and test file path.
[2025-09-06 00:29:42,647] 22 root - INFO - Data Initiation Completed
[2025-09-06 00:29:42,672] 26 root - INFO - Initiate the data Validation
[2025-09-06 00:29:42,786] 32 root - INFO - Required number of columns:2
[2025-09-06 00:29:42,787] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:29:42,787] 32 root - INFO - Required number of columns:2
[2025-09-06 00:29:42,787] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:29:43,095] 28 root - INFO - data Validation Completed
