[2025-09-06 01:18:59,734] 21 root - INFO - Initiate the data ingestion
[2025-09-06 01:19:07,410] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 01:19:07,410] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 01:19:07,411] 77 root - INFO - Exporting train and test file path.
[2025-09-06 01:19:07,569] 86 root - INFO - Exported train and test file path.
[2025-09-06 01:19:07,571] 23 root - INFO - Data Initiation Completed
[2025-09-06 01:19:07,592] 27 root - INFO - Initiate the data Validation
[2025-09-06 01:19:07,707] 32 root - INFO - Required number of columns:2
[2025-09-06 01:19:07,707] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:19:07,708] 32 root - INFO - Required number of columns:2
[2025-09-06 01:19:07,708] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:19:08,027] 29 root - INFO - data Validation Completed
[2025-09-06 01:19:08,029] 33 root - INFO - Initiate the data Transformation
[2025-09-06 01:19:08,030] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-06 01:19:08,030] 65 root - INFO - Starting data transformation
[2025-09-06 01:19:08,099] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-09-06 01:19:08,100] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-06 01:19:08,123] 39 root - INFO - Entered the save_object method of utils
[2025-09-06 01:19:08,131] 44 root - INFO - Exited the save_object method of utils
[2025-09-06 01:19:08,131] 39 root - INFO - Entered the save_object method of utils
[2025-09-06 01:19:08,137] 44 root - INFO - Exited the save_object method of utils
[2025-09-06 01:19:08,139] 35 root - INFO - data Transformation Completed
