[2025-09-06 01:17:03,886] 21 root - INFO - Initiate the data ingestion
[2025-09-06 01:17:11,385] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 01:17:11,386] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 01:17:11,387] 77 root - INFO - Exporting train and test file path.
[2025-09-06 01:17:11,582] 86 root - INFO - Exported train and test file path.
[2025-09-06 01:17:11,584] 23 root - INFO - Data Initiation Completed
[2025-09-06 01:17:11,613] 27 root - INFO - Initiate the data Validation
[2025-09-06 01:17:11,749] 32 root - INFO - Required number of columns:2
[2025-09-06 01:17:11,750] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:17:11,750] 32 root - INFO - Required number of columns:2
[2025-09-06 01:17:11,750] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:17:12,079] 29 root - INFO - data Validation Completed
[2025-09-06 01:17:12,080] 33 root - INFO - Initiate the data Transformation
[2025-09-06 01:17:12,081] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-06 01:17:12,081] 65 root - INFO - Starting data transformation
[2025-09-06 01:17:12,121] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
