[2025-09-06 01:11:59,821] 21 root - INFO - Initiate the data ingestion
[2025-09-06 01:12:12,810] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 01:12:12,811] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 01:12:12,812] 77 root - INFO - Exporting train and test file path.
[2025-09-06 01:12:13,064] 86 root - INFO - Exported train and test file path.
[2025-09-06 01:12:13,066] 23 root - INFO - Data Initiation Completed
[2025-09-06 01:12:13,151] 27 root - INFO - Initiate the data Validation
[2025-09-06 01:12:13,314] 32 root - INFO - Required number of columns:2
[2025-09-06 01:12:13,314] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:12:13,315] 32 root - INFO - Required number of columns:2
[2025-09-06 01:12:13,315] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:12:14,300] 29 root - INFO - data Validation Completed
