[2025-09-06 00:25:49,978] 20 root - INFO - Initiate the data ingestion
[2025-09-06 00:25:58,150] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 00:25:58,150] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 00:25:58,151] 77 root - INFO - Exporting train and test file path.
[2025-09-06 00:25:58,336] 86 root - INFO - Exported train and test file path.
[2025-09-06 00:25:58,337] 22 root - INFO - Data Initiation Completed
[2025-09-06 00:25:58,358] 26 root - INFO - Initiate the data Validation
[2025-09-06 00:25:58,489] 32 root - INFO - Required number of columns:2
[2025-09-06 00:25:58,489] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:25:58,489] 32 root - INFO - Required number of columns:2
[2025-09-06 00:25:58,489] 33 root - INFO - Data frame has columns:31
[2025-09-06 00:25:58,853] 28 root - INFO - data Validation Completed
