[2025-09-05 23:49:06,624] 20 root - INFO - Initiate the data ingestion
[2025-09-05 23:49:19,045] 67 root - INFO - Performed train test split on the dataframe
[2025-09-05 23:49:19,045] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-05 23:49:19,047] 77 root - INFO - Exporting train and test file path.
[2025-09-05 23:49:19,181] 86 root - INFO - Exported train and test file path.
[2025-09-05 23:49:19,183] 22 root - INFO - Data Initiation Completed
[2025-09-05 23:49:19,241] 26 root - INFO - Initiate the data Validation
[2025-09-05 23:49:19,351] 32 root - INFO - Required number of columns:2
[2025-09-05 23:49:19,351] 33 root - INFO - Data frame has columns:31
[2025-09-05 23:49:19,351] 32 root - INFO - Required number of columns:2
[2025-09-05 23:49:19,351] 33 root - INFO - Data frame has columns:31
[2025-09-05 23:49:19,718] 28 root - INFO - data Validation Completed
