[2025-09-06 01:14:17,086] 21 root - INFO - Initiate the data ingestion
[2025-09-06 01:14:26,199] 67 root - INFO - Performed train test split on the dataframe
[2025-09-06 01:14:26,199] 69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-09-06 01:14:26,200] 77 root - INFO - Exporting train and test file path.
[2025-09-06 01:14:26,541] 86 root - INFO - Exported train and test file path.
[2025-09-06 01:14:26,542] 23 root - INFO - Data Initiation Completed
[2025-09-06 01:14:26,621] 27 root - INFO - Initiate the data Validation
[2025-09-06 01:14:26,829] 32 root - INFO - Required number of columns:2
[2025-09-06 01:14:26,830] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:14:26,830] 32 root - INFO - Required number of columns:2
[2025-09-06 01:14:26,830] 33 root - INFO - Data frame has columns:31
[2025-09-06 01:14:27,639] 29 root - INFO - data Validation Completed
[2025-09-06 01:14:27,639] 33 root - INFO - Initiate the data Transformation
[2025-09-06 01:14:27,639] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-09-06 01:14:27,639] 65 root - INFO - Starting data transformation
